utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,sadl.started,sadl.stopped,smlyl.started,text_2.started,smlyl.stopped,text_2.stopped,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
16,0,16,0,,,,,,,,,,,,,,,,,34.898354900069535,34.898354900069535,34.898354900069535,34.898354900069535,34.898354900069535,p,0.16155439987778664,35.071254200069234,35.071254200069234,35.474586200201884,35.474586200201884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
17,0,17,0,,,,,,,,,,,,,,,,,35.474586200201884,35.474586200201884,35.474586200201884,35.474586200201884,35.474586200201884,p,0.11223849980160594,35.59900620020926,35.59900620020926,36.00294650020078,36.00294650020078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
18,0,18,0,,,,,,,,,,,,,,,,,36.00294650020078,36.00294650020078,36.00294650020078,36.00294650020078,36.00294650020078,p,0.14023239980451763,36.153142700204626,36.153142700204626,36.55806960002519,36.55806960002519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
19,0,19,0,,,,,,,,,,,,,,,,,36.55806960002519,36.55806960002519,36.55806960002519,36.55806960002519,36.55806960002519,p,0.12552009988576174,36.695097899995744,36.695097899995744,37.09976500016637,37.09976500016637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
20,0,20,0,,,,,,,,,,,,,,,,,37.09976500016637,37.09976500016637,37.09976500016637,37.09976500016637,37.09976500016637,q,0.13993599987588823,37.25031170016155,37.25031170016155,37.65528660011478,37.65528660011478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
21,0,21,0,,,,,,,,,,,,,,,,,37.65528660011478,37.65528660011478,37.65528660011478,37.65528660011478,37.65528660011478,q,0.16784149990417063,37.834574800217524,37.834574800217524,38.238754000049084,38.238754000049084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
22,0,22,0,,,,,,,,,,,,,,,,,38.238754000049084,38.238754000049084,38.238754000049084,38.238754000049084,38.238754000049084,q,0.12467249971814454,38.36908740014769,38.36908740014769,38.77328780014068,38.77328780014068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
23,0,23,0,,,,,,,,,,,,,,,,,38.77328780014068,38.77328780014068,38.77328780014068,38.77328780014068,38.77328780014068,q,0.10458499984815717,38.88408139999956,38.88408139999956,39.28758790018037,39.28758790018037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
24,0,24,0,,,,,,,,,,,,,,,,,39.28758790018037,39.28758790018037,39.28758790018037,39.28758790018037,39.28758790018037,q,0.09559309994801879,39.39002460008487,39.39002460008487,39.79435580014251,39.79435580014251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
25,0,25,0,,,,,,,,,,,,,,,,,39.79435580014251,39.79435580014251,39.79435580014251,39.79435580014251,39.79435580014251,p,0.06067929998971522,39.8638513002079,39.8638513002079,40.26659570005722,40.26659570005722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
