utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,clk.started,clk.stopped,sad.started,text_2.started,sad.stopped,text_2.stopped,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.36491740006022,247.36491740006022,247.36491740006022,247.36491740006022,247.36491740006022,247.36491740006022,247.36491740006022,247.36491740006022,247.36491740006022,w,0.09596929978579283,247.47000720002688,247.47000720002688,247.47000720002688,247.47000720002688,247.87782500009052,247.87782500009052,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.87782500009052,247.87782500009052,247.87782500009052,247.87782500009052,247.87782500009052,247.87782500009052,247.87782500009052,247.87782500009052,247.87782500009052,p,0.1116903000511229,247.9974133002106,247.9974133002106,247.9974133002106,247.9974133002106,248.40045810001902,248.40045810001902,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.40045810001902,248.40045810001902,248.40045810001902,248.40045810001902,248.40045810001902,248.40045810001902,248.40045810001902,248.40045810001902,248.40045810001902,q,0.07972809998318553,248.49094220018014,248.49094220018014,248.49094220018014,248.49094220018014,248.898639800027,248.898639800027,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.898639800027,248.898639800027,248.898639800027,248.898639800027,248.898639800027,248.898639800027,248.898639800027,248.898639800027,248.898639800027,o,0.32069860002957284,249.22845390019938,249.22845390019938,249.22845390019938,249.22845390019938,249.63565449998714,249.63565449998714,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.63565449998714,249.63565449998714,249.63565449998714,249.63565449998714,249.63565449998714,249.63565449998714,249.63565449998714,249.63565449998714,249.63565449998714,w,0.023732800036668777,249.67059710016474,249.67059710016474,249.67059710016474,249.67059710016474,250.0732136000879,250.0732136000879,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,79,0,79,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,250.0732136000879,250.0732136000879,250.0732136000879,250.0732136000879,250.0732136000879,250.0732136000879,250.0732136000879,250.0732136000879,250.0732136000879,w,0.15394470002502203,250.23989100009203,250.23989100009203,250.23989100009203,250.23989100009203,250.64604530017823,250.64604530017823,250.64604530017823,250.64604530017823,space,4.855797199998051,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.5169169001747,255.5169169001747,255.5169169001747,255.5169169001747,255.5169169001747,255.5169169001747,255.5169169001747,255.5169169001747,255.5169169001747,q,0.3870945000089705,255.91449780017138,255.91449780017138,255.91449780017138,255.91449780017138,256.32285160012543,256.32285160012543,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.32285160012543,256.32285160012543,256.32285160012543,256.32285160012543,256.32285160012543,256.32285160012543,256.32285160012543,256.32285160012543,256.32285160012543,p,0.06739629991352558,256.40059130010195,256.40059130010195,256.40059130010195,256.40059130010195,256.80868500005454,256.80868500005454,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.80868500005454,256.80868500005454,256.80868500005454,256.80868500005454,256.80868500005454,256.80868500005454,256.80868500005454,256.80868500005454,256.80868500005454,w,0.008350900141522288,256.8307581001427,256.8307581001427,256.8307581001427,256.8307581001427,257.2331298000645,257.2331298000645,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
