Roll Number, Payoff Condition, Trial Number, Total Reward, Repeat Choices
3, Equal Means,12,670.6531538,6
3, Equal Means,14,786.4110131,8
3, Equal Means,16,886.7387325,10
3, Equal Means,18,979.1476702,11
3, High Var,0,44.73590195,0
3, High Var,2,118.918835,0
3, High Var,4,198.3163864,0
3, High Var,6,303.1873589,2
3, High Var,8,403.2729482,4
3, High Var,10,494.0457107,5
3, High Var,12,597.5790045,6
3, High Var,14,701.3744958,8
3, High Var,16,752.7847582,9
3, High Var,18,831.4423327,9
3, IOWA,0,31.73121394,0
3, IOWA,2,107.1199652,0
3, IOWA,4,197.0151674,1
3, IOWA,6,286.3193623,2
3, IOWA,8,409.2116063,2
3, IOWA,10,489.1384751,3
3, IOWA,12,572.1885858,5
3, IOWA,14,672.6419537,6
3, IOWA,16,777.9828137,7
3, IOWA,18,868.5057265,9
4, IOWA,0,52.35274326,0
4, IOWA,2,145.1284612,0
4, IOWA,4,250.816878,0
4, IOWA,6,351.0929381,1
4, IOWA,8,467.3444544,2
4, IOWA,10,584.5697356,4
4, IOWA,12,695.5515686,6
4, IOWA,14,805.1226053,8
4, IOWA,16,905.3739302,8
4, IOWA,18,1000.484237,8
4, Equal Means,0,57.95498905,0
4, Equal Means,2,149.1367276,0
4, Equal Means,4,251.1360661,1
4, Equal Means,6,364.7317203,1
4, Equal Means,8,499.5027395,2
4, Equal Means,10,606.3982066,3
4, Equal Means,12,726.247582,5
4, Equal Means,14,839.5721692,7
4, Equal Means,16,959.9490921,9
4, Equal Means,18,1077.243164,11
4, Equal Means,0,60.20886768,0
4, Equal Means,2,140.1718764,0
4, Equal Means,4,246.6589203,0
4, Equal Means,6,354.8064701,2
4, Equal Means,8,469.2866527,4
4, Equal Means,10,570.6852071,5
4, Equal Means,12,669.9392212,5
4, Equal Means,14,758.9098682,7
4, Equal Means,16,879.2003687,8
4, Equal Means,18,998.7179378,10
4, High Var,0,54.74937135,0
4, High Var,2,157.834175,0
4, High Var,4,234.1564047,0
4, High Var,6,331.5948101,2
4, High Var,8,444.8011338,3
4, High Var,10,561.7413945,4
4, High Var,12,679.2238245,4
4, High Var,14,810.3485576,4
4, High Var,16,923.2872601,4
4, High Var,18,1035.910433,6
4, High Var,0,31.24143878,0
4, High Var,2,101.8950982,1
4, High Var,4,239.4138751,1
4, High Var,6,337.5750861,2
4, High Var,8,479.626635,4
4, High Var,10,587.3251968,6
4, High Var,12,691.4695411,8
4, High Var,14,813.4281294,9
4, High Var,16,907.7277655,10
4, High Var,18,1008.994152,10
4, IOWA,0,60.2576943,0
4, IOWA,2,123.1626937,0
4, IOWA,4,234.4749336,0
4, IOWA,6,352.9626662,2
4, IOWA,8,467.4285214,2
4, IOWA,10,608.099392,4
4, IOWA,12,713.8135658,6
4, IOWA,14,846.6962962,8
4, IOWA,16,953.2997781,10
4, IOWA,18,1069.583757,11
4, IOWA,0,61.86459769,0
4, IOWA,2,139.7189618,0
4, IOWA,4,232.0333219,0
4, IOWA,6,338.7251598,0
4, IOWA,8,454.0761647,2
4, IOWA,10,569.2306684,4
4, IOWA,12,683.9908556,6
4, IOWA,14,800.6071424,8
4, IOWA,16,920.8553404,10
4, IOWA,18,1033.211345,12
4, Low Var,0,44.00415715,0
4, Low Var,2,158.4189728,0
4, Low Var,4,263.2092502,0
4, Low Var,6,375.2873562,2
4, Low Var,8,496.2131859,3
4, Low Var,10,618.8254617,3
4, Low Var,12,722.265208,5
4, Low Var,14,839.2754748,7
4, Low Var,16,947.7102169,8
4, Low Var,18,1064.668765,10
4, IOWA,0,33.69233901,0
4, IOWA,2,118.8761289,0
4, IOWA,4,242.9097452,1
4, IOWA,6,321.1738069,3
4, IOWA,8,443.5156389,4
4, IOWA,10,522.8344088,5
4, IOWA,12,619.7815054,5
4, IOWA,14,736.8290306,7
4, IOWA,16,859.487978,9
4, IOWA,18,991.8979483,10
4, Low Var,0,49.43494301,0
4, Low Var,2,129.6611468,0
4, Low Var,4,251.6085713,1
4, Low Var,6,363.82309,3
4, Low Var,8,502.2180495,4
4, Low Var,10,621.2084774,6
4, Low Var,12,738.6067858,6
4, Low Var,14,852.860499,6
4, Low Var,16,974.0947947,6
4, Low Var,18,1098.179132,6
4, High Var,0,40.75914162,0
4, High Var,2,153.5548513,0
4, High Var,4,257.3138314,1
4, High Var,6,388.880185,3
4, High Var,8,511.0228607,5
4, High Var,10,601.1140078,7
4, High Var,12,708.6691333,7
4, High Var,14,815.4436442,9
4, High Var,16,929.8154588,9
4, High Var,18,1031.563796,9
4, Low Var,0,38.24187233,0
4, Low Var,2,125.250495,0
4, Low Var,4,245.7050034,0
4, Low Var,6,356.6998034,2
4, Low Var,8,450.2207492,3
4, Low Var,10,568.5929956,4
4, Low Var,12,679.6368514,6
4, Low Var,14,794.0438032,8
4, Low Var,16,895.3369372,9
4, Low Var,18,1008.882037,10
200550, IOWA,0,18.33864705,0
200550, IOWA,2,99.06148397,1
200550, IOWA,4,174.1439765,1
200550, IOWA,6,254.8218974,1
200550, IOWA,8,347.4276618,2
200550, IOWA,10,409.1595937,2
200550, IOWA,12,515.5786928,3
200550, IOWA,14,601.3345885,3
200550, IOWA,16,692.0394602,4
200550, IOWA,18,788.4342769,6
200550, Low Var,0,11.11480503,0
200550, Low Var,2,76.96081607,1
200550, Low Var,4,161.0543282,2
200550, Low Var,6,238.1314417,2
200550, Low Var,8,311.4827987,2
200550, Low Var,10,387.4944498,2
200550, Low Var,12,471.0288782,2
200550, Low Var,14,561.7993662,3
200550, Low Var,16,651.6239066,5
200550, Low Var,18,731.2734791,6
200550, High Var,0,30.62081489,0
200550, High Var,2,110.0262542,0
200550, High Var,4,207.3220669,0
200550, High Var,6,301.8982237,1
200550, High Var,8,398.4794308,2
200550, High Var,10,471.1499937,3
200550, High Var,12,536.5894949,3
200550, High Var,14,631.7887142,4
200550, High Var,16,731.4936196,6
200550, High Var,18,826.4848514,8
200550, Low Var,0,29.28954823,0
200550, Low Var,2,128.006793,0
200550, Low Var,4,192.9309649,0
200550, Low Var,6,293.0364835,1
200550, Low Var,8,372.1790394,2
200550, Low Var,10,468.2255979,2
200550, Low Var,12,550.0045208,2
200550, Low Var,14,628.1228301,2
200550, Low Var,16,699.2558717,2
200550, Low Var,18,777.0786708,2
200550, High Var,0,29.36886648,0
200550, High Var,2,106.9491645,0
200550, High Var,4,193.919231,0
200550, High Var,6,274.1711887,0
200550, High Var,8,335.2369238,0
200550, High Var,10,425.7128101,0
200550, High Var,12,516.1138052,0
200550, High Var,14,602.9230619,0
200550, High Var,16,702.0027344,2
200550, High Var,18,788.0573211,3
200550, High Var,0,57.80266666,0
200550, High Var,2,133.5168387,0
200550, High Var,4,195.7070282,0
200550, High Var,6,303.1081626,0
200550, High Var,8,389.0445116,0
200550, High Var,10,472.5142386,0
200550, High Var,12,521.5110459,0
200550, High Var,14,623.0494794,0
200550, High Var,16,711.516422,2
200550, High Var,18,809.1993709,3
200550, Equal Means,0,26.46998038,0
200550, Equal Means,2,90.35304744,0
200550, Equal Means,4,174.9108314,0
200550, Equal Means,6,254.2126624,0
200550, Equal Means,8,325.0519911,0
200550, Equal Means,10,415.1598936,0
200550, Equal Means,12,509.4714254,0
200550, Equal Means,14,603.7462928,1
200550, Equal Means,16,695.5539271,3
200550, Equal Means,18,778.932065,4
200550, IOWA,0,43.80748566,0
200550, IOWA,2,103.961386,0
200550, IOWA,4,191.4860734,1
200550, IOWA,6,289.4795781,1
200550, IOWA,8,366.9141308,1
200550, IOWA,10,473.419518,1
200550, IOWA,12,545.3903255,3
200550, IOWA,14,660.2932919,5
200550, IOWA,16,775.7386678,7
200550, IOWA,18,839.5638609,8
200550, IOWA,0,51.19063016,0
200550, IOWA,2,107.1187515,0
200550, IOWA,4,202.0777373,0
200550, IOWA,6,299.6496946,0
200550, IOWA,8,397.0033234,0
200550, IOWA,10,493.9024443,0
200550, IOWA,12,584.398591,0
200550, IOWA,14,654.5630077,0
200550, IOWA,16,740.0505839,0
200550, IOWA,18,820.5159426,0
200550, IOWA,0,46.46319966,0
200550, IOWA,2,139.1210792,0
200550, IOWA,4,226.9213008,0
200550, IOWA,6,324.6639813,0
200550, IOWA,8,403.4180542,0
200550, IOWA,10,497.1617239,0
200550, IOWA,12,564.9757149,0
200550, IOWA,14,671.0225382,0
200550, IOWA,16,761.7253088,0
200550, IOWA,18,847.6913896,1
200550, Equal Means,0,27.96578658,0
200550, Equal Means,2,107.9867251,0
200550, Equal Means,4,186.6316869,0
200550, Equal Means,6,305.1309409,0
200550, Equal Means,8,409.3161581,0
200550, Equal Means,10,502.3312181,0
200550, Equal Means,12,588.9558068,0
200550, Equal Means,14,695.3402895,0
200550, Equal Means,16,777.9400098,0
200550, Equal Means,18,824.2805938,0
200550, Equal Means,0,25.45510913,0
200550, Equal Means,2,112.9623544,0
200550, Equal Means,4,210.7816197,0
200550, Equal Means,6,329.6754929,2
200550, Equal Means,8,427.4956739,4
200550, Equal Means,10,517.4653531,6
200550, Equal Means,12,602.9222326,7
200550, Equal Means,14,702.1050084,7
200550, Equal Means,16,791.9615947,7
200550, Equal Means,18,890.5881989,7
006, IOWA, 0, 52.33497450964865, 0
006, IOWA, 2, 174.08907865091982, 0
006, IOWA, 4, 304.2752803235435, 1
006, IOWA, 6, 453.18219854399706, 1
006, IOWA, 8, 548.63983474282, 2
006, IOWA, 10, 644.4416641193361, 4
006, IOWA, 12, 737.7240447658673, 6
006, IOWA, 14, 837.9933902182576, 8
006, IOWA, 16, 950.5256719163046, 10
006, IOWA, 18, 1054.092285294053, 12
006, Low Var, 0, 47.60249547211092, 0
006, Low Var, 2, 175.14102099219147, 1
006, Low Var, 4, 284.04460780236576, 1
006, Low Var, 6, 363.00699506758855, 2
006, Low Var, 8, 507.92647303746287, 3
006, Low Var, 10, 645.9403492343558, 5
006, Low Var, 12, 760.0338456960599, 7
006, Low Var, 14, 889.8110076223364, 9
006, Low Var, 16, 1026.2579556153682, 11
006, Low Var, 18, 1177.2879482306978, 13
006, IOWA, 0, 74.90345023289656, 0
006, IOWA, 2, 196.74098454433852, 1
006, IOWA, 4, 345.9915146284923, 2
006, IOWA, 6, 451.9052531672228, 2
006, IOWA, 8, 582.1549390586272, 4
006, IOWA, 10, 721.733091860819, 5
006, IOWA, 12, 861.4243225474966, 7
006, IOWA, 14, 1001.6313893476078, 9
006, IOWA, 16, 1143.1601158472122, 11
006, IOWA, 18, 1277.9517395775438, 13
006, High Var, 0, 69.45824433398502, 0
006, High Var, 2, 187.7075747000914, 0
006, High Var, 4, 337.9126498530822, 1
006, High Var, 6, 473.9578357964353, 3
006, High Var, 8, 598.4164619532665, 5
006, High Var, 10, 738.3787219771979, 7
006, High Var, 12, 858.0438385938693, 8
006, High Var, 14, 1000.5427229758275, 9
006, High Var, 16, 1138.5968686297945, 11
006, High Var, 18, 1241.4562840073722, 11
006, Low Var, 0, 47.21913844987258, 0
006, Low Var, 2, 189.45375727194795, 0
006, Low Var, 4, 280.16660407258377, 0
006, Low Var, 6, 425.6511246093387, 1
006, Low Var, 8, 567.4953039489885, 3
006, Low Var, 10, 717.4108394197674, 5
006, Low Var, 12, 855.073394140697, 7
006, Low Var, 14, 995.8128679372913, 9
006, Low Var, 16, 1127.2888555664695, 11
006, Low Var, 18, 1262.2833298914124, 13
006, Equal Means, 0, 50.05578166126367, 0
006, Equal Means, 2, 187.06475063444864, 0
006, Equal Means, 4, 313.7432827433352, 0
006, Equal Means, 6, 463.8076398314872, 2
006, Equal Means, 8, 603.2990669922191, 4
006, Equal Means, 10, 748.7865209510518, 6
006, Equal Means, 12, 883.797251025154, 8
006, Equal Means, 14, 1025.6852063843057, 10
006, Equal Means, 16, 1155.169476917028, 12
006, Equal Means, 18, 1260.9022641632112, 13
006, High Var, 0, 70.63837479306827, 0
006, High Var, 2, 207.5667009629159, 0
006, High Var, 4, 329.03056820979924, 0
006, High Var, 6, 436.0335599420724, 1
006, High Var, 8, 580.4543493778774, 2
006, High Var, 10, 720.356954885297, 4
006, High Var, 12, 859.1627664050898, 5
006, High Var, 14, 971.2881511767946, 6
006, High Var, 16, 1073.6140834787357, 7
006, High Var, 18, 1230.6028118576485, 8
006, Equal Means, 0, 71.6896425836335, 0
006, Equal Means, 2, 217.0966705421012, 0
