Roll Number, Payoff Condition, Trial Count, Total Reward, Repeat Choices
200550, IOWA,2,139.0529471,1
200550, IOWA,4,269.4791133,2
200550, IOWA,6,367.8112361,2
200550, IOWA,8,498.7278088,3
200550, IOWA,10,634.1359733,5
200550, IOWA,12,775.9449374,7
200550, IOWA,14,892.1500122,8
200550, IOWA,16,1013.665114,9
200550, IOWA,18,1121.901911,10
200550, IOWA,20,1264.086788,10
200550, Equal Means,0,55.87731953,0
200550, Equal Means,2,169.6953633,0
200550, Equal Means,4,285.9359561,0
200550, Equal Means,6,408.7648015,0
200550, Equal Means,8,531.684641,0
200550, Equal Means,10,633.1918665,0
200550, Equal Means,12,751.3759541,0
200550, Equal Means,14,862.0374063,0
200550, Equal Means,16,988.1176744,2
200550, Equal Means,18,1099.709308,3
200550, Equal Means,20,1215.284344,4
200550, High Var,0,51.49851381,0
200550, High Var,2,165.3482529,0
200550, High Var,4,284.1251498,1
200550, High Var,6,380.2657552,2
200550, High Var,8,498.7015209,2
200550, High Var,10,615.4841328,2
200550, High Var,12,746.7029457,4
200550, High Var,14,895.0515762,6
200550, High Var,16,1048.418624,8
200550, High Var,18,1185.48306,10
200550, High Var,20,1342.626743,12
200550, Equal Means,0,51.62363769,0
200550, Equal Means,2,179.5120833,2
200550, Equal Means,4,304.4329183,3
200550, Equal Means,6,415.0264786,5
200550, Equal Means,8,514.816741,7
200550, Equal Means,10,635.8221883,8
200550, Equal Means,12,753.3358743,9
200550, Equal Means,14,871.6261454,10
200550, Equal Means,16,982.7593455,12
200550, Equal Means,18,1104.519268,13
200550, Equal Means,20,1216.646549,15
200550, Equal Means,0,74.4696731,0
200550, Equal Means,2,175.1332491,2
200550, Equal Means,4,288.8652683,3
200550, Equal Means,6,404.384794,4
200550, Equal Means,8,525.5303298,5
200550, Equal Means,10,646.7928815,6
200550, Equal Means,12,763.9611845,8
200550, Equal Means,14,885.7849787,9
200550, Equal Means,16,1015.227388,9
200550, Equal Means,18,1124.92728,10
200550, Equal Means,20,1248.636328,10
200550, Low Var,0,64.60412937,0
200550, Low Var,2,180.8215319,2
200550, Low Var,4,293.8420071,2
200550, Low Var,6,427.5907076,4
200550, Low Var,8,557.3987039,6
200550, Low Var,10,695.8738226,8
200550, Low Var,12,837.4097827,10
200550, Low Var,14,951.7763238,11
200550, Low Var,16,1067.663155,12
200550, Low Var,18,1200.151536,12
200550, Low Var,20,1333.332859,12
200550, Low Var,0,51.28521854,0
200550, Low Var,2,170.809236,0
200550, Low Var,4,277.6671399,0
200550, Low Var,6,395.8388418,0
200550, Low Var,8,514.4854225,1
200550, Low Var,10,628.0498075,1
200550, Low Var,12,747.5429803,3
200550, Low Var,14,863.1876646,5
200550, Low Var,16,975.6544349,7
200550, Low Var,18,1083.324471,7
200550, Low Var,20,1213.498242,7
200550, IOWA,0,47.73688947,0
200550, IOWA,2,170.4265624,1
200550, IOWA,4,280.6828378,2
200550, IOWA,6,430.4572452,3
200550, IOWA,8,587.6422962,5
200550, IOWA,10,727.1944193,7
200550, IOWA,12,881.5379803,9
200550, IOWA,14,1005.162399,11
200550, IOWA,16,1126.879167,13
200550, IOWA,18,1283.242084,15
200550, IOWA,20,1412.260528,17
200550, Low Var,0,49.52315113,0
200550, Low Var,2,146.6547231,2
200550, Low Var,4,258.7243493,3
200550, Low Var,6,369.878532,5
200550, Low Var,8,501.9584603,6
006, IOWA, 0, 32.80356276019522, 0
006, IOWA, 2, 88.82162528225825, 1
006, IOWA, 4, 184.16898037597184, 1
006, IOWA, 6, 296.9896944842216, 2
006, IOWA, 8, 405.7592570623359, 4
006, IOWA, 10, 516.3576156565829, 6
006, IOWA, 12, 624.048778355313, 8
006, IOWA, 14, 710.7686274651868, 8
006, IOWA, 16, 818.3804182535016, 10
006, IOWA, 18, 928.2513529197579, 12
006, IOWA, 20, 1035.9070498687631, 14
006, IOWA, 0, 34.4872031481598, 0
006, IOWA, 2, 128.2295187823988, 0
006, IOWA, 4, 242.72163549156204, 2
006, IOWA, 6, 332.9490485423648, 3
006, IOWA, 8, 442.1114142603179, 4
006, IOWA, 10, 554.45415050814, 6
006, IOWA, 12, 660.6382077139918, 8
006, IOWA, 14, 773.2323195459003, 10
006, IOWA, 16, 869.3047337061028, 11
006, IOWA, 18, 943.4152956567838, 11
006, IOWA, 20, 1053.3125659493544, 12
006, IOWA, 0, 61.149733797532, 0
006, IOWA, 2, 170.70936777419007, 2
006, IOWA, 4, 281.13333475573387, 4
006, IOWA, 6, 390.1092203794593, 6
006, IOWA, 8, 482.8488145451626, 8
006, IOWA, 10, 579.8485015323656, 10
006, IOWA, 12, 664.9273022835648, 12
006, IOWA, 14, 784.9614202108716, 14
006, IOWA, 16, 890.8924822920472, 16
006, IOWA, 18, 990.3325569264555, 18
006, IOWA, 20, 1105.7562227984495, 20
006, Low Var, 0, 49.06807959167697, 0
006, Low Var, 2, 136.10664520635748, 2
006, Low Var, 4, 224.93551352857378, 4
006, Low Var, 6, 311.02839859130273, 6
006, Low Var, 8, 396.63808286614153, 8
006, Low Var, 10, 472.2210227361778, 8
006, Low Var, 12, 561.7265728570017, 9
006, Low Var, 14, 649.1443466645288, 11
006, Low Var, 16, 736.8743632059611, 11
006, Low Var, 18, 823.3659658735758, 12
006, Low Var, 20, 911.1378083827179, 12
006, Low Var, 0, 50.6892446844666, 0
006, Low Var, 2, 158.65601491529554, 2
006, Low Var, 4, 272.24441472711067, 4
006, Low Var, 6, 385.3806627634126, 6
006, Low Var, 8, 499.9983612522568, 8
006, Low Var, 10, 605.5377931926413, 10
006, Low Var, 12, 722.6738273240983, 12
006, Low Var, 14, 828.2496612546141, 14
006, Low Var, 16, 934.8859821203993, 16
006, Low Var, 18, 1042.9117583807995, 18
006, Low Var, 20, 1144.9965590042686, 20
006, Equal Means, 0, 44.492872282982944, 0
006, Equal Means, 2, 143.78272390293603, 2
006, Equal Means, 4, 237.6453052345089, 4
006, Equal Means, 6, 319.8828454754751, 4
006, Equal Means, 8, 406.3226429026728, 5
006, Equal Means, 10, 490.277870627327, 6
006, Equal Means, 12, 576.9725506358224, 7
006, Equal Means, 14, 655.4517970657943, 8
006, Equal Means, 16, 724.5194779874614, 8
006, Equal Means, 18, 815.4413960860845, 9
006, Equal Means, 20, 906.8454163153125, 11
006, IOWA, 0, 56.89925180294682, 0
006, IOWA, 2, 160.26910988991168, 2
006, IOWA, 4, 278.09520459553397, 4
006, IOWA, 6, 383.0320936446116, 6
006, IOWA, 8, 493.11561743554967, 8
006, IOWA, 10, 605.1229907772683, 10
006, IOWA, 12, 710.4947563056169, 12
006, IOWA, 14, 816.5748550503469, 14
006, IOWA, 16, 921.7198332207632, 16
006, IOWA, 18, 1029.0270777321189, 18
006, IOWA, 20, 1138.4987207059855, 20
006, High Var, 0, 32.36386169088249, 0
006, High Var, 2, 123.03093985510452, 1
006, High Var, 4, 213.35143816213366, 3
006, High Var, 6, 322.4533208498862, 5
006, High Var, 8, 422.2282092783403, 7
006, High Var, 10, 540.950037133989, 9
006, High Var, 12, 647.3610998052377, 11
006, High Var, 14, 725.6373781056511, 11
006, High Var, 16, 817.8961761507395, 11
006, High Var, 18, 899.1196900719601, 13
006, High Var, 20, 973.2838342309016, 14
006, High Var, 0, 49.23866093558725, 0
006, High Var, 2, 190.514306655613, 2
006, High Var, 4, 287.87767730600973, 4
006, High Var, 6, 399.5720531629201, 6
006, High Var, 8, 518.0557525023263, 8
006, High Var, 10, 627.6289127889776, 10
006, High Var, 12, 756.0665122949608, 12
006, High Var, 14, 851.1006722816505, 14
006, High Var, 16, 980.1132181423482, 16
006, High Var, 18, 1083.2006988611615, 18
006, High Var, 20, 1193.8899002736168, 20
006, Low Var, 0, 36.10286971698376, 0
006, Low Var, 2, 106.17160623315175, 2
006, Low Var, 4, 175.54842114205303, 4
006, Low Var, 6, 246.54103692719488, 6
006, Low Var, 8, 326.7703847704792, 7
006, Low Var, 10, 411.91423205302766, 9
006, Low Var, 12, 504.84035792970286, 11
006, Low Var, 14, 598.824602857365, 13
006, Low Var, 16, 687.7271754859884, 15
006, Low Var, 18, 782.4740269248101, 17
006, Low Var, 20, 875.6214984986723, 19
006, Equal Means, 0, 40.00430160384338, 0
006, Equal Means, 2, 146.8599324946664, 1
006, Equal Means, 4, 233.21213838651536, 3
006, Equal Means, 6, 330.2073340777223, 5
006, Equal Means, 8, 405.621936805942, 6
006, Equal Means, 10, 493.04801807115615, 8
006, Equal Means, 12, 566.512040170947, 10
006, Equal Means, 14, 653.0821265328531, 11
006, Equal Means, 16, 738.2997319807681, 12
006, Equal Means, 18, 835.642904307745, 14
006, Equal Means, 20, 918.1800153448281, 16
006, High Var, 0, 32.01008011497248, 0
006, High Var, 2, 131.3465842939182, 1
006, High Var, 4, 234.57857497741898, 3
006, High Var, 6, 325.0435209142466, 3
006, High Var, 8, 417.02816213824633, 4
007, IOWA, 0, 20.774611199353707, 0
007, IOWA, 2, 94.0617891182545, 0
007, IOWA, 4, 187.89211100920173, 1
007, IOWA, 6, 262.0460102953343, 1
007, IOWA, 8, 326.62302092245665, 1
007, IOWA, 10, 413.3221636365466, 1
007, IOWA, 12, 508.40159778939494, 1
007, IOWA, 14, 583.739190583996, 1
007, IOWA, 16, 638.3569995199931, 3
007, IOWA, 18, 693.359897297374, 5
007, IOWA, 20, 738.8607225473799, 6
007, IOWA, 0, 27.627375509509285, 0
007, IOWA, 2, 111.66176382165435, 0
007, IOWA, 4, 182.67695198165532, 1
